pickup_cluster,day_of_month,weekday,hour,avg_ride_value,p25_ride_value,p75_ride_value
0,1,1,0,1.2580454545454545,0.706375,1.7309999999999999
0,1,1,1,0.68625,0.1953125,1.1383124999999998
0,1,1,2,1.0094375,0.547875,1.1955625
0,1,1,3,0.9052142857142857,0.424875,1.053125
0,1,1,4,0.9127857142857143,0.5956875,1.0811875
0,1,1,5,1.1814903846153846,0.7536875,1.3634374999999999
0,1,1,6,1.0205914634146342,0.633,1.38025
0,1,1,7,0.9976829268292683,0.66575,1.383
0,1,1,8,0.959359375,0.6838124999999999,1.1668125
0,1,1,9,1.119524193548387,0.706125,1.261625
0,1,1,10,1.0329761904761905,0.66675,1.36775
0,1,1,11,1.2194130434782608,0.619,1.777125
0,1,1,12,1.1917065217391305,0.744375,1.625625
0,1,1,13,0.9657916666666667,0.493,1.1855624999999999
0,1,1,14,0.9713793103448276,0.56875,1.039
0,1,1,15,1.164806818181818,0.5361875,1.554
0,1,1,16,1.23259,0.73525,1.79975
0,1,1,17,0.9201071428571428,0.62175,1.011125
0,1,1,18,1.0613571428571429,0.37325,1.36875
0,1,1,19,1.1036666666666666,0.5705625,1.621
0,1,1,20,1.0417115384615383,0.64325,1.16125
0,1,1,21,1.245375,0.4346875,1.800375
0,1,1,22,1.303326923076923,0.67225,1.8003749999999998
0,1,1,23,1.07825,0.5975625,1.193875
0,2,2,0,1.0910250000000001,0.7470625000000001,1.303125
0,2,2,1,1.0073928571428572,0.6156250000000001,1.352
0,2,2,2,1.1209500000000001,1.064,1.1425
0,2,2,3,0.9113611111111111,0.436,1.18025
0,2,2,4,0.7326388888888888,0.64775,0.8440000000000001
0,2,2,5,1.060048387096774,0.599375,1.39225
0,2,2,6,0.9001428571428571,0.5017499999999999,1.234125
0,2,2,7,1.117375,0.659625,1.3786874999999998
0,2,2,8,1.0031083333333333,0.5281250000000001,1.29775
0,2,2,9,1.2516333333333334,0.7111875000000001,1.8508125
0,2,2,10,0.8930192307692307,0.562,1.1686875
0,2,2,11,0.9173676470588236,0.56475,1.1965
0,2,2,12,1.1067282608695652,0.5882499999999999,1.55125
0,2,2,13,1.45309,0.81075,1.75525
0,2,2,14,0.8586484375,0.561875,1.0339375
0,2,2,15,1.0582596153846153,0.7069375,1.4475625
0,2,2,16,0.9678928571428571,0.5413749999999999,1.3055
0,2,2,17,1.0633676470588236,0.6739375,1.43025
0,2,2,18,1.226125,0.649125,1.6600625
0,2,2,19,1.18898,0.6815,1.65125
0,2,2,20,1.0553400000000002,0.5539999999999999,1.2245
0,2,2,21,1.2858706896551724,0.642,1.74175
0,2,2,22,1.1000227272727274,0.6568125,1.1996875
0,2,2,23,0.9809027777777778,0.751375,1.2331874999999999
0,3,3,0,0.9485833333333333,0.55325,1.136
0,3,3,1,1.0397500000000002,0.9060625,1.1940625
0,3,3,2,0.8398333333333333,0.642625,1.033875
0,3,3,3,0.7547142857142858,0.52775,0.9708749999999999
0,3,3,4,1.0512000000000001,0.53725,1.391
0,3,3,5,0.9339224137931034,0.68925,1.086
0,3,3,6,1.0108306451612903,0.496875,1.409125
0,3,3,7,1.02871875,0.5731875000000001,1.1946875
0,3,3,8,1.001375,0.5308125,1.306125
0,3,3,9,0.913673076923077,0.5335000000000001,1.0734375
0,3,3,10,1.101922319399061,0.6134375,1.4153125
0,3,3,11,1.25304091421555,0.56475,1.8355
0,3,3,12,1.0796625,0.5771875,1.4995625
0,3,3,13,0.9836428571428572,0.692625,1.301125
0,3,3,14,1.1151379310344827,0.7885,1.28075
0,3,3,15,1.2163260869565218,0.6368750000000001,1.704
0,3,3,16,1.1800641025641025,0.620625,1.652625
0,3,3,17,0.9391451612903227,0.623625,1.2385
0,3,3,18,0.9269166666666667,0.6828749999999999,1.163875
0,3,3,19,1.1417291666666667,0.6301875,1.555
0,3,3,20,1.044163043478261,0.643875,1.2937500000000002
0,3,3,21,0.9734464285714285,0.32937500000000003,1.282875
0,3,3,22,0.9547413793103449,0.5589999999999999,1.30375
0,3,3,23,1.0413625,0.7756875,1.2599375
0,4,4,0,1.0630000000000002,0.8794375,1.5105
0,4,4,1,1.2380625,0.6731250000000001,1.7010625
0,4,4,2,1.272625,0.7506875,1.9431875
0,4,4,3,1.38496875,0.7902499999999999,1.909125
0,4,4,4,1.1355,0.869625,1.4206874999999999
0,4,4,5,1.0310108695652174,0.4515,1.489875
0,4,4,6,1.0726824324324324,0.45225,1.5725
0,4,4,7,1.1532352941176471,0.723375,1.602
0,4,4,8,1.0956666666666666,0.680125,1.4705
0,4,4,9,1.1634039039229633,0.6876249999999999,1.2045
0,4,4,10,0.9689391891891891,0.46925,1.29625
0,4,4,11,1.225825,0.538,1.775375
0,4,4,12,1.0393703703703703,0.596875,1.33025
0,4,4,13,1.0410581520823121,0.6205,1.377735627369787
0,4,4,14,1.1270065789473684,0.5616875,1.6594375
0,4,4,15,1.0916933239721995,0.6505,1.263
0,4,4,16,1.040388888888889,0.5775,1.3375
0,4,4,17,1.3416774193548386,0.73925,1.7618749999999999
0,4,4,18,1.2508951612903227,0.720125,1.642375
0,4,4,19,1.0447261904761906,0.6865,1.278
0,4,4,20,1.1326458333333334,0.6055625,1.377375
0,4,4,21,0.8247619047619048,0.417,1.0015
0,4,4,22,1.0195326086956522,0.468625,1.1521249999999998
0,4,4,23,1.2448214285714285,0.79075,1.341
0,5,5,0,0.91225,0.60225,1.136
0,5,5,1,1.1791875,0.637,1.5149375
0,5,5,2,1.0066249999999999,0.9475625,1.0656875
